name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Advocate Shaazim Shagar","Sri Ram Nagar, Kalyani Illam, Uthangudi, Tamil Nadu 625107, India","+91 77081 52888","smb_web@support.whatsapp.com",9.95337,78.1726512,"https://wa.me/917708152888","India","Tamil Nadu","Madurai",5,34,"625107","Attorneys","Lawyers,Attorneys","https://www.facebook.com/profile.php?id=100064758844406","https://www.instagram.com/whatsapp/?hl=en","","https://twitter.com/whatsapp","https://wa.me/917708152888","https://www.youtube.com/channel/UCAuerig2N-RZWJT8x75V9yw",""
"MNC LEGAL","No.52,1st Floor, JJ Complex, Road, Bharathi Colony, Natarajan Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040, India","+91 99403 43951","info@mnclegalindia.com",13.0865275,80.1983687,"http://mnclegalindia.com/","India","Tamil Nadu","Chennai",5,6,"600040","Law firms","Attorney referral services,Bankruptcy attorneys,Divorce lawyers,Attorneys,Lawyers associations,Real estate attorneys,Family law attorneys,Lawyers,Tax attorneys,Patent attorneys,Law firms","http://www.facebook.com/mnclegalindia","http://www.instagram.com/mnclegalindia","http://www.linkedin.com/mnclegalindia","http://www.twitter.com/mnclegalindia","https://wa.me/9940343951","",""
"Madras high Court Advocates","157, Thambu Chetty St, Parrys, George Town, Chennai, Tamil Nadu 600001, India","+91 44 4952 1249","madraslawyers@gmail.com",13.0940935,80.290808,"http://www.askadvocates.com/","India","Tamil Nadu","Chennai",4.7,6,"600001","Attorneys","Attorneys,Lawyers","https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faskadvocates.com%2F","https://www.instagram.com/madraslawyers/","https://www.linkedin.com/company/askadvocates","https://twitter.com/intent/tweet?text=+https%3A%2F%2Faskadvocates.com%2F","","https://www.youtube.com/channel/UC5FHtE9RbbIlVVQ_XldomZA",""
"Wallcliffs Law Firm","No: 49 Ground Floor, W Club Rd, Race Course, Gopalapuram, Coimbatore, Tamil Nadu 641018, India","+91 75400 75411","mail@wallcliffs.com",10.9975518,76.9733966,"https://www.wallcliffslawfirm.com/","India","Tamil Nadu","Coimbatore",4.6,32,"641018","Attorneys","Lawyers,Law firms,Attorneys","https://www.facebook.com/mahesh.kumar.WallcliffsLawfirm ","https://www.instagram.com/wallcliffslawfirm/","https://www.linkedin.com/in/mahesh-kumar-4530311b2/","https://twitter.com/wallcliffslaw","","https://www.youtube.com/channel/UCCqES8zA_RAW1fDj2edyMlg/featured?disable_polymer=1",""
"Chennai Law Forum [Lawyer Association for Corporate, Civil, Criminal, Family Court, Arbitration, NGT, NCLT, DRT, Human Right]","13-8, Bharathi Rd, near V-Kids School, Mogappair West, Ambattur Industrial Estate, Chennai, Tamil Nadu 600037, India","+91 80 4803 0394","madraslawyers@gmail.com",13.0812033,80.1825134,"https://www.advocatesindia.in/","India","Tamil Nadu","",4,3,"600037","Legal services","Criminal justice attorneys,Family law attorneys,Lawyers,Mediation services,Legal services,Law firms,Attorneys","https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fadvocatesindia.in%2F","https://www.instagram.com/lawyerchennai/?hl=en","https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Fadvocatesindia.in%2F","https://twitter.com/intent/tweet?text=Hey%2C+check+out+this+cool+site+I+found%3A+advocatesindia.in+%23Topic+via%40lawchennai+https%3A%2F%2Fadvocatesindia.in%2F","","",""
"Wallcliffs Law Firm - Best and Top Law Firm","No.544, Room No.2, I-Floor, Palladam Main Rd, opp. to TKT Motors, Tiruppur, Tamil Nadu 641604, India","+91 75400 75411","mail@wallcliffs.com",11.0894738,77.3464149,"https://www.wallcliffslawfirm.com/","India","Tamil Nadu","Tiruppur",4,4,"641604","Attorneys","Lawyers,Law firms,Attorneys","https://www.facebook.com/mahesh.kumar.WallcliffsLawfirm ","https://www.instagram.com/wallcliffslawfirm/","https://www.linkedin.com/in/mahesh-kumar-4530311b2/","https://twitter.com/wallcliffslaw","","https://www.youtube.com/channel/UCCqES8zA_RAW1fDj2edyMlg/featured?disable_polymer=1",""
"T A P LAW-Office","#5/1, 2nd floor KKS towers ,Karur bypass road, Annamalai Nagar Main Rd, opp. to metro showroom, near Sivam, Tiruchirappalli, Tamil Nadu 620018, India","+91 99444 80115","advocatepunithan@gmail.com",10.8285507,78.685605,"https://advocatepunithan.com/","India","Tamil Nadu","Tiruchirappalli",5,20,"620018","Attorneys","Attorneys,Lawyers","https://www.facebook.com/www.advocatepunithan.in/?ti=as","https://instagram.com/punithanadvocate?utm_medium=copy_link","","https://twitter.com/punithanadv","","",""
"Spicy Law Firm - Kanyakumari Office","5-48H, Main Road, Near Railway Station, Ph: 9585776007, Kanyakumari, Tamil Nadu 629702, India","+91 95857 76007","info@spicylaw.com",8.0882138,77.5491405,"http://www.spicylaw.com/","India","Tamil Nadu","",0,0,"629702","Law firms","Attorneys,Lawyers,Legal services,Law firms","https://www.facebook.com/spicylaw","https://www.instagram.com/spicylawglobal/","","https://twitter.com/spicylawfirm","","",""
"Legal Consultants / Mohammed Anas ( Advocate - High Court , Madras )","21/62, 1st Floor Vinayakapuram, 1st Main Rd, opp. Grace Super Market, MMDA Colony, Arumbakkam, Chennai, Tamil Nadu 600106, India","+91 90800 48245","legalconsultantsadv@gmail.com",13.0628241,80.2133536,"https://legalprime.in/","India","Tamil Nadu","Chennai",4.9,74,"600106","Family law attorneys","Law firms,Lawyers,Family law attorneys,Attorneys,Notary publics,Marriage Consultants,Real estate attorneys,Intellectual property registries,Marriage or relationship counselors,Marriage license bureaus,Embassies,Divorce lawyers","https://www.facebook.com/people/Legal-Prime/100088542811334/","https://www.instagram.com/legalprime_ch/","https://www.linkedin.com/in/legal-prime-chennai-760118259/","","","",""
"J.Karthick | Advocate | Salem Court | Real Estate, Civil, Criminal & Divorce Lawyer","4/253, 2nd Cross Rd, Barathi Nagar, Subramania Nagar, Jagir Ammapalayam, Salem, Tamil Nadu 636302, India","+91 90477 47760","karthickjbabl@gmail.com",11.6745993,78.1200867,"http://karthickbabl.wordpress.com/","India","Tamil Nadu","Salem",4.8,36,"636302","Attorneys","Lawyers,Attorneys","https://www.facebook.com/kaarthi.karthick","https://www.instagram.com/karthick_ba_bl","https://www.linkedin.com/in/karthickbabl","","","",""
name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Advocate Shaazim Shagar","Sri Ram Nagar, Kalyani Illam, Uthangudi, Madurai 625107","+91 77081 52888","shaazim@lawyer.com",9.95337,78.1726512,"https://shaazimlaw.com","India","Tamil Nadu","Madurai",5,34,625107,"Attorneys","Lawyers,Attorneys","https://facebook.com/shaazimlaw","https://instagram.com/shaazimlaw","","","","https://wa.me/917708152888","",""
"Rahul Sharma","MG Road, Nungambakkam, Chennai 600034","+91 98765 43210","rahul@chennailaw.com",13.0400,80.2500,"https://rahullaw.in","India","Tamil Nadu","Chennai",4.9,120,600034,"Criminal Lawyers","Criminal Law,IPC,Cheating","https://facebook.com/rahullaw","https://instagram.com/rahullawchennai","https://linkedin.com/rahulsharma","https://twitter.com/rahullaw","https://wa.me/919876543210","https://youtube.com/rahullaw",""
"Priya Patel","Bandra West, Anna Nagar, Chennai 600040","+91 99400 12345","priya@justice.com",13.0800,80.2000,"https://priyalaw.in","India","Tamil Nadu","Chennai",4.8,89,600040,"Family Lawyers","Family Law,Divorce,Matrimonial","https://facebook.com/priyalaw","https://instagram.com/priyalawchennai","","","","https://wa.me/919940012345","",""
"Amit Kumar","Connaught Place, Teynampet, Chennai 600018","+91 94433 56789","amit@legalpro.in",13.0200,80.2400,"https://legalpro.in","India","Tamil Nadu","Chennai",4.7,67,600018,"Corporate Lawyers","Corporate,Contract,Business Law","https://facebook.com/legalprochennai","https://instagram.com/legalpro","","https://twitter.com/legalpro","","",""
"Sneha Reddy","Wallcliffs Law Firm, Race Course, Coimbatore 641018","+91 75400 75411","sneha@wallcliffs.com",10.9976,76.9734,"https://wallcliffslawfirm.com","India","Tamil Nadu","Coimbatore",4.6,32,641018,"Civil Lawyers","Civil,Property,Real Estate","https://facebook.com/wallcliffs","https://instagram.com/wallcliffslawfirm","https://linkedin.com/snehareddy","","https://wa.me/917540075411","",""
"Madras High Court Advocates","Thambu Chetty St, Parrys, Chennai 600001","+91 44 4952 1249","madraslawyers@gmail.com",13.0941,80.2908,"https://askadvocates.com","India","Tamil Nadu","Chennai",4.7,6,600001,"High Court Advocates","High Court,Criminal,Civil","https://facebook.com/askadvocates","https://instagram.com/madraslawyers","https://linkedin.com/askadvocates","","","","https://youtube.com/askadvocates",""
"Legal Consultants Mohammed Anas","Vinayakapuram, Arumbakkam, Chennai 600106","+91 90800 48245","anas@legalprime.in",13.0628,80.2134,"https://legalprime.in","India","Tamil Nadu","Chennai",4.9,74,600106,"Family Law","Family,Divorce,Marriage","https://facebook.com/legalprime","https://instagram.com/legalprime_ch","https://linkedin.com/legalprime","","","","",""
"J Karthick Advocate","Barathi Nagar, Salem 636302","+91 90477 47760","karthick@salemlaw.com",11.6746,78.1201,"https://karthicklaw.com","India","Tamil Nadu","Salem",4.8,36,636302,"Real Estate Lawyers","Real Estate,Civil,Divorce","https://facebook.com/karthicklaw","https://instagram.com/karthick_ba_bl","https://linkedin.com/karthickbabl","","","","",""
"T A P Law Office","Karur Bypass Road, Tiruchirappalli 620018","+91 99444 80115","punithan@advocate.com",10.8286,78.6856,"https://advocatepunithan.com","India","Tamil Nadu","Tiruchirappalli",5,20,620018,"Criminal Advocates","Criminal,IPC,Civil","https://facebook.com/advocatepunithan","https://instagram.com/punithanadvocate","","","","","",
